,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 19 September to 01 November 1993 (table 2),,,,,,,,,,,,,,,CODES,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,1,Chick ringed.,,,
,1994-10-05,6,28 39 04.1,24 47 38.3,6,,,,,,,,,,,,,,,
,1994-10-04,7,28 39 14.7,24 47 24.9,1,G19753,M,"R, Y, B",4650,365,72,34611,1994-07-24,1994-05-29,,,,,,
,1994-10-04,8,28 39 12.4,24 47 15.3,1,G19754,M,"R, Y, Y",3150,315,64,34611,1994-08-01,1994-06-06,,,,,,
,1994-10-04,9,28 39 05.7,24 47 21.7,1,G13986,M,"R, B, G",2650,265,58,34611,1994-08-07,1994-06-12,,,,,,
,1994-10-04,12,28 39 27.1,24 47 41.1,1,G13987,M,"R, B, W",5000,420,80,34611,1994-07-16,1994-05-21,,,,,,
,1994-10-04,13,28 39 18.6,24 47 25.8,5,,,,,,,,,,,,,,,
,1994-10-04,14,28 39 12.9,24 47 19.3,1,G19755,M,"R, Y. R",4200,420,80,34611,1994-07-16,1994-05-21,,,,,,
,1994-10-04,15,28 39 54.6,24 47 23.9,1,G13988,M,"R, B, B",4450,380,74,34611,1994-07-22,1994-05-27,,,,,,
,1994-10-04,16,28 40 04.1,24 47 49.0,5,,,,,,,,,,,,,,,
,1994-10-04,17,28 40 46.6,24 47 58.6,1,G13989,M,"R, B, Y",4500,335,68,34611,1994-07-28,1994-06-02,,,,,,
,1994-10-04,18,28 40 55.9,24 48 06.6,1,G13990,M,"R, B, R",3650,240,54,34611,1994-08-11,1994-06-16,,,,,,
,1994-10-04,19,28 41 05.8,24 48 16.2,1,G19851,M,"R, G, G",4200,255,56,34611,1994-08-09,1994-06-14,,,,,,
,1994-10-05,21,28 41 05.9,24 48 05.2,2,,,,,55,15,34612,1994-09-20,1994-07-26,,,,,,
,1994-10-05,23,28 40 59.9,24 48 36.5,6,,,,,,,,,,,,,,,
,1994-10-05,26,28 41 18.7,24 48 50.0,1,G19857,M,"G, Y, G",2200,175,44,34612,1994-08-22,1994-06-27,,,,,,
,1994-10-04,27,28 41 04.9,24 48 58.3,1,G19852,M,"R, G, W",2450,115,35,34611,1994-08-30,1994-07-05,,,,,,
,1994-10-05,31,28 40 57.7,24 48 21.8,6,,,,,,,,,,,,,,,
