,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 19 September to 01 November 1993 (table 2),,,,,,,,,,,,,,,CODES,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,1,Chick ringed.,,,
,2003-10-11,183,28 39 21.9,24 47 53.2,16,,,,,,,,,,,,,,,
,2003-10-11,184,28 40 10.1,24 48 00.1,1,G23379,"G, B, Y","M, Y, R",6300,450,84,37905,2003-07-19,2003-05-24,,,,,,
,2003-10-11,185,28 39 40.8,24 47 53.2,1,G23360,"B, R, R","M, Y, R",3700,325,66,37905,2003-08-06,2003-06-11,,,,,,
,2003-10-12,193,28 40 05.1,24 47 31.0,1,G23320,"B, W, Y","M, Y, R",5100,440,83,37906,2003-07-21,2003-05-26,,,,,,
,2003-06-07,195,28 39 11.1,24 47 14.9,5,,,,,,,,,,,,,,,
,2003-10-11,196,28 39 03.3,24 48 58.9,1,G23374,"B, Y, Y","M, Y, R",5600,430,81,37905,2003-07-22,2003-05-27,,,,,,
,2003-10-11,198,28 39 53.2,24 48 20.5,1,G23389,"B, W, G","M, Y, R",5900,435,82,37905,2003-07-21,2003-05-26,,,,,,
,2003-10-12,202,28 41 05.1,24 47 49.3,1,G23351,"G, G, G","M, Y, R",2400,160,42,37906,2003-08-31,2003-07-06,,,,,,
,2003-10-12,203,28 40 38.1,24 47 39.9,1,G23388,"G, Y, W","M, Y, R",3000,185,46,37906,2003-08-27,2003-07-02,,,,,,
,2003-06-07,204,28 40 09.7,24 47 41.2,,,,,,,,,,,,,,,,
,2003-10-12,212,28 39 54.9,24 47 19.3,1,G23319,"B, W, W","M, Y, R",5300,480,90,37906,2003-07-14,2003-05-19,,,,,,
,2003-10-11,219,28 38 50.1,24 49 52.3,1,G23332,"B, B, G","M, Y, R",2000,190,47,37905,2003-08-25,2003-06-30,,,,,,
,2003-10-11,228,28 33 27.9,24 50 18.4,16,,,,,,,,,,,,,,,
,2003-10-12,238,28 35 55.2,24 49 04.1,1,G23344,"B, G, B","M, G, Y",4525,402,77,37906,2003-07-27,2003-06-01,,,,,,
,2003-10-11,240,28 38 56.2,24 50 08.3,1,G23331,"B, B, B","M, Y, R",4600,334,68,37905,2003-08-04,2003-06-09,,,,,,
,2003-10-11,254,28 34 34.8,24 49 41.1,16,,,,,,,,,,,,,,,
,2003-10-11,258,28 36 50.8,24 48 03.7,6,,,,,,,,,,,,,,,
,2003-10-11,260,28 35 59.8,24 49 00.6,5,,,,,,,,,,,,,,,
,2003-10-11,262,28 41 09.6,24 48 41.7,1,G23378,"G, B, W","M, Y, R",3900,260,57,37905,2003-08-15,2003-06-20,,,,,,
,2003-10-11,264,28 39 43.9,24 47 26.6,1,G23353,"B, W, R","M, Y, R",5250,400,77,37905,2003-07-26,2003-05-31,,,,,,
,2003-10-11,266,28 40 15.9,24 48 52.1,1,G23376,"G, B, G","M, Y, R",4500,420,80,37905,2003-07-23,2003-05-28,,,,,,
,2003-10-11,277,28 33 46.9,24 50 31.5,1,G23372,"B, Y, R","M, Y, R",4600,400,77,37905,2003-07-26,2003-05-31,,,,,,
,2003-10-11,278,28 33 30.0,24 52 01.1,6,,,,,,,,,,,,,,,
,2003-10-11,280,28 33 37.9,24 50 41.0,5,,,,,,,,,,,,,,,
,2003-10-12,281,28 34 39.9,24 49 55.6,1,G23352,"G, R, R","M, Y, R",3500,270,59,37906,2003-08-14,2003-06-19,,,,,,
,2003-10-11,290,28 37 46.3,24 49 55.8,5,,,,,,,,,,,,,,,
,2003-10-11,301,28 37 47.2,24 50 05.8,5,,,,,,,,,,,,,,,
,2003-10-11,302,28 33 08.4,24 50 59.3,1,G23371,"B, Y, G","M, Y, R",6100,480,90,37905,2003-07-13,2003-05-18,,,,,,
,2003-10-11,305,28 35 41.1,24 49 10.2,1,G23373,"B, Y, W","M, Y, R",4500,380,74,37905,2003-07-29,2003-06-03,,,,,,
,2003-10-11,306,28 33 23.0,24 51 57.5,6,,,,,,,,,,,,,,,
,2003-10-11,307,28 40 06.3,24 49 14.0,1,G23377,"G, B, R","M, Y, R",4300,350,70,37905,2003-08-02,2003-06-07,,,,,,
,2003-10-12,312,28 36 45.4,24 49 44.6,1,G23395,"B, R, G","M, G, Y",4025,385,75,37906,2003-07-29,2003-06-03,,,,,,
,2003-10-11,331,28 37 57.3,24 51 22.1,1,G23337,"B, G, G","M, Y, R",5000,450,84,37905,2003-07-19,2003-05-24,,,,,,
,2003-10-12,345,28 37 34.9,24 50 13.8,1,G23341,"G, W, Y","M, G, Y",6000,455,85,37906,2003-07-19,2003-05-24,,,,,,
,2003-10-12,396,28 40 30.6,24 47 15.7,1,G23364,"B, W, B","M, Y, R",5050,450,84,37906,2003-07-20,2003-05-25,,,,,,
,2003-10-11,397,28 39 13.8,24 47 14.2,1,G23359,"B, R, Y","M, Y, R",4900,495,93,37905,2003-07-10,2003-05-15,,,,,,
,2003-10-23,398,28 39 27.3,24 47 37.2,1,G23355,"B, G, R","M, Y, R",4500,350,70,37917,2003-08-14,2003-06-19,,,,,,
,2003-10-12,399,28 39 21.8,24 47 40.1,1,G23380,"G, G, B","M, Y, R",5200,390,76,37906,2003-07-28,2003-06-02,,,,,,
,TOTALS,63,,,59,35,35,,4644,377,74,,2003-07-29,2003-06-03,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 16 to 17 October 2004 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,L top down,R top down ,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,2004-10-16,3,28 38 55.6,24 47 15.4,1,G23350,"W, Y, W","M, Y, R",4850,530,101,38276,2004-07-07,2004-05-12,,,,,,
,2004-10-16,5,28 38 54.4,24 47 31.2,1,G23346,"W, Y, R","M, Y, R",4800,465,87,38276,2004-07-21,2004-05-26,,,,,,
,2004-10-16,9,28 39 05.7,24 47 21.7,1,G23357,"Y, B, G","M, Y, R",3900,385,75,38276,2004-08-02,2004-06-07,,,,,,
,2004-10-16,11,28 39 15.4,24 47 11.9,1,G23361,"Y, B, W","M, Y, R",3200,385,75,38276,2004-08-02,2004-06-07,,,,,,
,2004-10-16,12,28 39 27.1,24 47 41.1,1,G23366,"Y, G, W","M, Y, R",2000,105,33,38276,2004-09-13,2004-07-19,,,,,,
,2004-06-06,13,28 39 18.6,24 47 25.8,19,,,,,,,,,,,,,,,
,2004-10-16,14,28 39 12.9,24 47 19.3,8,,,,,,,,,,,,,,,
,2004-06-13,31,28 40 57.7,24 48 21.8,19,,,,,,,,,,,,,,,
,2004-10-17,37,28 37 28.4,24 50 24.3,8,,,,,,,,,,,,,,,
,2004-10-17,38,28 37 46.3,24 50 00.5,5,,,,,,,,,,,,,,,
,2004-06-06,44,28 37 50.7,24 51 30.7,19,,,,,,,,,,,,,,,
,2004-10-17,48,28 39 37.0,24 49 27.3,1,G23313,"G, W, G","M, Y, R",5100,400,77,38277,2004-08-01,2004-06-06,,,,,,
,2004-10-16,52,28 39 22.6,24 47 31.3,1,G23370,"Y, R, W","M, Y, R",4100,370,73,38276,2004-08-04,2004-06-09,,,,,,
,2004-10-16,58,28 39 12.3,24 50 12.5,6,,,,,,,,,,,,,,,
,2004-10-30,60,28 39 38.2,24 50 02.9,1,G23317,"G, W, Y","M, Y, R",3550,230,52,38290,2004-09-08,2004-07-14,,,,,,
,2004-10-16,64,28 36 51.9,24 49 51.0,1,G23311,"G, R, W","M, Y, R",4800,460,86,38276,2004-07-22,2004-05-27,,,,,,
,2004-06-13,66,28 37 50.7,24 51 31.0,16,,,,,,,,,,,,,,,
,2004-10-16,72,28 39 20.9,24 49 40.5,1,G23339,"R, W, B","M, Y, R",4900,330,67,38276,2004-08-10,2004-06-15,,,,,,
,2004-06-20,83,28 40 13.5,24 50 25.2,19,,,,,,,,,,,,,,,
,2004-06-06,85,28 39 16.9,24 48 46.5,8,,,,,,,,,,,,,,,
,2004-10-17,89,28 41 00.0,24 47 45.8,5,,,,,,,,,,,,,,,
,2004-06-06,91,28 40 18.7,24 49 24.2,19,,,,,,,,,,,,,,,
,2004-10-16,94,28 39 55.7,24 49 57.8,1,G23318,"R, W, R","M, Y, R",4900,510,96,38276,2004-07-12,2004-05-17,,,,,,
,2004-10-16,100,28 39 53.0,24 49 02.0,1,G23368,"Y, R, B","M, Y, R",4900,360,72,38276,2004-08-05,2004-06-10,,,,,,
,2004-10-16,112,28 39 29.2,24 47 34.8,1,G23365,"Y, G, R","M, Y, R",5400,510,96,38276,2004-07-12,2004-05-17,,,,,,
,2004-10-16,117,28 38 04.3,24 49 43.5,1,G23345,"R, G, Y","M, Y, R",5100,420,80,38276,2004-07-28,2004-06-02,,,,,,
,2004-10-17,121,28 38 53.9,24 50 10.1,8,,,,,,,,,,,,,,,
,2004-10-16,123,28 33 31.7,24 52 14.1,1,G23302,"B, G, W","M, Y, R",5300,480,90,38276,2004-07-18,2004-05-23,,,,,,
,2004-10-17,139,28 33 21.7,24 50 40.8,8,,,,,,,,,,,,,,,
,2004-10-17,140,28 33 27.9,24 50 42.7,15,,,,,,,,,,,,,,,
,2004-10-16,145,28 37 52.0,24 49 41.3,1,G23312,"G, W, B","M, Y, R",4600,325,66,38276,2004-08-11,2004-06-16,,,,,,
,2004-10-16,147,28 37 48.6,24 50 18.2,1,G23310,"G, R, Y","M, Y, R",4800,410,79,38276,2004-07-29,2004-06-03,,,,,,
,2004-06-06,152,28 40 27.3,24 47 41.6,19,,,,,,,,,,,,,,,
,2004-10-16,167,28 33 56.4,24 50 38.7,1,G23307,"G, R, B","M, Y, R",5500,470,88,38276,2004-07-20,2004-05-25,,,,,,
,2004-06-06,174,28 39 33.3,24 49 46.4,19,,,,,,,,,,,,,,,
,2004-06-20,182,28 40 33.4,24 50 32.4,19,,,,,,,,,,,,,,,
,2004-10-16,195,28 39 11.1,24 47 14.9,1,G23358,"Y, B, R","M, Y, R",4400,415,79,38276,2004-07-29,2004-06-03,,,,,,
,2004-10-16,196,28 39 03.3,24 48 58.9,1,G23327,"R, W, Y","M, Y, R",5300,450,84,38276,2004-07-24,2004-05-29,,,,,,
,2004-10-16,198,28 39 53.2,24 48 20.5,16,,,,,,,,,,,,,,,
,2004-10-16,203,28 40 38.1,24 47 39.9,1,G23369,"Y, R, G","M, Y, R",4300,385,75,38276,2004-08-02,2004-06-07,,,,,,
,2004-10-16,207,28 33 17.1,24 51 17.7,1,G23304,"B, R, B","M, Y, R",4800,460,86,38276,2004-07-22,2004-05-27,,,,,,
,2004-10-30,208,28 34 03.4,24 50 15.4,1,G23316,"G, Y, B","M, Y, R",2650,205,48,38290,2004-09-12,2004-07-18,,,,,,
,2004-10-16,212,28 39 54.9,24 47 19.3,1,G23367,"Y, G, Y","M, Y, R",4350,495,93,38276,2004-07-15,2004-05-20,,,,,,
,2004-12-12,227,28 34 34.1,24 49 51.0,1,G23322,"G, Y, G","M, Y, R",1950,175,44,38333,2004-10-29,2004-09-03,,,,,,
,2004-10-16,264,28 39 43.9,24 47 26.6,1,G23363,"Y, G, B","M, Y, R",4800,495,93,38276,2004-07-15,2004-05-20,,,,,,
,2004-10-16,266,28 40 15.9,24 48 52.1,16,,,,,,,,,,,,,,,
,2004-10-17,273,28 38 35.4,24 50 03.6,8,,,,,,,,,,,,,,,
,2004-10-16,274,28 39 39.9,24 47 49.5,1,G23338,"R, Y, B","M, Y, R",4400,353,71,38276,2004-08-06,2004-06-11,,,,,,
,2004-10-16,278,28 33 30.0,24 52 01.1,1,G23303,"B, G, Y","M, Y, R",5800,475,89,38276,2004-07-19,2004-05-24,,,,,,
,2004-10-16,280,28 33 73.9,24 50 41.0,1,G23305,"B, R, G","M, Y, R",5000,400,77,38276,2004-07-31,2004-06-05,,,,,,
,2004-10-16,281,28 34 39.9,24 49 55.6,1,G23308,"G, R, G","M, Y, R",4900,405,78,38276,2004-07-30,2004-06-04,,,,,,
,2004-06-06,297,28 38 03.9,24 51 36.9,5,,,,,,,,,,,,,,,
,2004-10-17,300,28 37 52.9,24 49 57.1,5,,,,,,,,,,,,,,,
,2004-06-06,301,28 37 47.2,24 50 05.8,19,,,,,,,,,,,,,,,
,2004-10-17,322,28 41 10.8,24 49 06.2,6,,,,,,,,,,,,,,,
,2004-10-16,331,28 37 57.3,24 51 22.1,1,G23328,"R, W, G","M, Y, R",5100,520,99,38276,2004-07-09,2004-05-14,,,,,,
,2004-06-06,345,28 37 34.9,24 50 13.8,8,,,,,,,,,,,,,,,
,2004-10-16,347,28 40 12.7,24 48 07.3,1,G23362,"Y, B, Y","M, Y, R",4200,440,83,38276,2004-07-25,2004-05-30,,,,,,
,2004-10-16,348,28 40 12.7,24 48 07.3,5,,,,,,,,,,,,,,,
,2004-10-16,349,28 40 33.4,24 47 21.6,5,,,,,,,,,,,,,,,
,2004-06-06,350,28 39 03.1,24 47 10.1,19,,,,,,,,,,,,,,,
,2004-06-06,360,28 40 30.1,24 47 24.5,19,,,,,,,,,,,,,,,
,2004-06-06,396,28 38 52.2,24 47 06.2,8,,,,,,,,,,,,,,,
,2004-10-16,399,28 39 21.8,24 47 40.1,1,G23314,"G, W, R","M, Y, R",4200,420,80,38276,2004-07-28,2004-06-02,,,,,,
,TOTALS,64,,,64,33,33,,4480,401,78,,2004-08-01,2004-06-06,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY  01 to 27 October 2005 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,Tag,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,#,,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,2005-10-01,3,28 38 55.6,24 47 15.4,5,,,,,,,,,,,,,,,
,2005-10-01,5,28 38 54.4,24 47 31.2,1,G23398,B041,,5750,440,83,38626,2005-07-10,2005-05-15,,,,,,
,2005-10-02,9,28 39 05.7,24 47 21.7,1,G23501,B054,,4200,365,72,38627,2005-07-22,2005-05-27,,,,,,
,2005-10-02,11,28 39 15.4,24 47 11.9,1,G23574,B053,,6200,500,94,38627,2005-06-30,2005-05-05,,,,,,
,2005-10-01,12,28 39 27.1,24 47 41.1,5,,,,,,,,,,,,,,,
,2005-10-01,37,28 37 28.4,24 50 24.3,1,G23596,B049,,5700,415,79,38626,2005-07-14,2005-05-19,,,,,,
,2005-10-01,48,28 39 37.0,24 49 27.3,1,G23396,B008,,5500,345,69,38626,2005-07-24,2005-05-29,,,,,,
,2005-10-01,50,28 39 31.3,24 49 28.8,1,G23579,B009,,6000,445,83,38626,2005-07-10,2005-05-15,,,,,,
,2005-10-01,60,28 39 38.2,24 50 02.9,1,G23589,B005,,3500,225,51,38626,2005-08-11,2005-06-16,,,,,,
,2005-10-01,64,28 36 51.9,24 49 51.0,16,,,,,,,,,,,,,,,
,2005-10-02,65,28 37 33.1,24 51 35.1,6,,,,,,,,,,,,,,,
,2005-10-02,79,28 40 58.3,24 49 00.9,1,G23504,B002,,3500,280,60,38627,2005-08-03,2005-06-08,,,,,,
,2005-10-01,83,28 40 13.5,24 50 25.2,1,G23527,B004,,4400,325,66,38626,2005-07-27,2005-06-01,,,,,,
,2005-10-01,85,28 39 16.9,24 48 46.5,1,G23572,B007,,5200,400,77,38626,2005-07-16,2005-05-21,,,,,,
,2005-10-01,89,28 41 00.0,24 47 45.8,1,G23533,B051,,3500,250,56,38626,2005-08-06,2005-06-11,,,,,,
,2005-10-01,91,28 40 18.7,24 49 24.2,1,G23511,B003,,4600,280,60,38626,2005-08-02,2005-06-07,,,,,,
,2005-10-01,94,28 39 55.7,24 49 57.8,6,,,,,,,,,,,,,,,
,2005-10-29,104,28 40 33.3,24 48 57.4,1,G23564,B018,,3100,210,49,38654,2005-09-10,2005-07-16,,,,,,
,2005-10-01,110,28 41 11.4,24 49 13.7,1,G23555,B001,,4500,450,84,38626,2005-07-09,2005-05-14,,,,,,
,2005-10-01,112,28 39 29.2,24 47 34.8,5,,,,,,,,,,,,,,,
,2005-10-02,121,28 38 53.9,24 50 10.1,1,G23565,B011,,5500,420,80,38627,2005-07-14,2005-05-19,,,,,,
,2005-10-01,123,28 33 31.7,24 52 14.1,1,G23330,B032,,4350,435,82,38626,2005-07-11,2005-05-16,,,,,,
,2005-10-01,124,28 33 27.0,24 52 01.7,1,G23329,B040,,5000,280,60,38626,2005-08-02,2005-06-07,,,,,,
,2005-10-29,140,28 33 27.9,24 50 42.7,1,G23558,B025,,4150,350,70,38654,2005-08-20,2005-06-25,,,,,,
,2005-10-02,147,28 37 48.6,24 50 18.2,5,,,,,,,,,,,,,,,
,2005-10-01,151,28 39 37.8,24 47 51.6,1,G23532,B044,,4250,260,57,38626,2005-08-05,2005-06-10,,,,,,
,2005-10-02,152,28 40 27.3,24 47 41.6,6,,,,,,,,,,,,,,,
,2005-10-02,155,28 37 43.1,24 51 38.2,1,G23321,B024,,4800,340,69,38627,2005-07-25,2005-05-30,,,,,,
,2005-10-01,167,28 33 56.4,24 50 38.7,1,G23384,B034,,4500,340,69,38626,2005-07-24,2005-05-29,,,,,,
,2005-10-01,169,28 33 59.4,24 50 11.8,6,,,,,,,,,,,,,,,
,2005-06-17,170,28 37 37.5,24 50 05.5,6,,,,,,,,,,,,,,,
,2005-10-01,195,28 39 11.1,24 47 14.9,1,G23541,B042,,4300,305,63,38626,2005-07-30,2005-06-04,,,,,,
,2005-10-01,196,28 39 03.3,24 48 58.9,1,G23535,B006,,4800,345,69,38626,2005-07-24,2005-05-29,,,,,,
,2005-10-01,198,28 39 53.2,24 48 20.5,1,G23586,B010,,4500,280,60,38626,2005-08-02,2005-06-07,,,,,,
,2005-10-01,203,28 40 38.1,24 47 39.9,1,G23563,B050,,5750,385,60,38626,2005-08-02,2005-06-07,,,,,,
,2005-10-13,206,28 34 59.4,24 52 33.4,8,,,,,,,,,,,,,,,
,2005-10-01,207,28 33 17.1,24 51 17.7,1,G22689,B037,,5400,480,90,38626,2005-07-03,2005-05-08,,,,,,
,2005-10-01,208,28 34 03.4,24 50 15.4,1,G23385,B022,,5300,375,73,38626,2005-07-20,2005-05-25,,,,,,
,2005-10-01,211,28 39 51.8,24 47 25.6,1,G23580,B046,,4450,365,72,38626,2005-07-21,2005-05-26,,,,,,
,2005-10-02,212,28 39 54.9,24 47 19.3,1,G23544,B052,,5200,495,93,38627,2005-07-01,2005-05-06,,,,,,
,2005-10-14,225,28 34 59.4,24 49 56.6,6,,,,,,,,,,,,,,,
,2005-10-01,226,28 34 46.3,24 49 52.8,1,G23391,B023,,5000,370,73,38626,2005-07-20,2005-05-25,,,,,,
,2005-10-02,254,28 34 34.8,24 49 41.1,8,,,,,,,,,,,,,,,
,2005-10-29,257,28 34 11.7,24 50 13.5,1,G23512,B020,,4100,335,68,38654,2005-08-22,2005-06-27,,,,,,
,2005-10-01,264,28 39 43.9,24 47 26.6,1,G23598,B045,,5500,520,99,38626,2005-06-24,2005-04-29,,,,,,
,2005-10-02,273,28 38 35.4,24 50 03.6,1,G23551,B012,,6000,405,78,38627,2005-07-16,2005-05-21,,,,,,
,2005-10-01,278,28 33 30.0,24 52 01.1,1,G22688,B021,,5900,380,74,38626,2005-07-19,2005-05-24,,,,,,
,2005-06-17,280,28 33 37.9,24 50 41.0,19,,,,,,,,,,,,,,,
,2005-10-01,281,28 34 39.9,24 49 55.6,1,G23386,B038,,4500,275,59,38626,2005-08-03,2005-06-08,,,,,,
,2005-10-01,294,28 33 20.3,24 51 41.3,1,G23340,B039,,4300,260,57,38626,2005-08-05,2005-06-10,,,,,,
,2005-10-29,296,28 37 01.6,24 50 07.4,1,G23578,B019,,3250,310,64,38654,2005-08-26,2005-07-01,,,,,,
,2005-06-22,298,28 40 14.8,24 49 42.5,6,,,,,,,,,,,,,,,
,2005-10-06,299,28 39 19.3,24 47 17.6,1,G23573,B014,,4900,410,79,38631,2005-07-19,2005-05-24,,,,,,
,2005-10-01,308,28 39 53.7,24 47 52.0,1,G23537,B047,,5200,450,84,38626,2005-07-09,2005-05-14,,,,,,
,2005-10-01,309,28 39 51.7,24 47 11.6,6,,,,,,,,,,,,,,,
,2005-10-06,310,28 35 11.8,24 53 41.2,1,G23536,B015,,4400,360,72,38631,2005-07-26,2005-05-31,,,,,,
,2005-10-01,314,28 38 56.6,24 48 11.0,6,,,,,,,,,,,,,,,
,2005-10-01,315,28 38 56.5,24 48 58.5,6,,,,,,,,,,,,,,,
,2005-06-23,316,28 40 17.7,24 50 02.2,5,,,,,,,,,,,,,,,
,2005-10-05,317,28 40 21.6,24 50 18.7,6,,,,,,,,,,,,,,,
,2005-10-05,318,28 40 29.2,24 50 33.6,6,,,,,,,,,,,,,,,
,2005-10-29,319,28 39 23.2,24 47 54.2,1,G23530,B016,,3000,330,67,38654,2005-08-23,2005-06-28,,,,,,
,2005-10-01,320,28 36 10.4,24 48 37.7,15,,,,,,,,,,,,,,,
,2005-10-01,345,28 37 34.9,24 50 13.8,1,G23526,B048,,5500,440,83,38626,2005-07-10,2005-05-15,,,,,,
,2005-10-01,347,28 39 30.2,24 47 17.1,1,G23525,B043,,5200,410,79,38626,2005-07-14,2005-05-19,,,,,,
,2005-10-02,348,28 40 12.7,24 48 07.3,1,G23392,B013,,5000,310,64,38627,2005-07-30,2005-06-04,,,,,,
,2005-10-29,396,28 40 30.6,24 47 15.7,1,G23585,B017,,4100,320,65,38654,2005-08-25,2005-06-30,,,,,,
,2005-10-01,397,28 39 13.8,24 47 14.2,5,,,,,,,,,,,,,,,
,TOTALS,68,,,68,45,45,,4750,362,71,,2005-07-25,2005-05-30,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 14 to 27 October 2006 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,Tag,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,#,,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,2006-10-17,3,28 38 55.6,24 47 15.4,1,G23522,W015,,5000,502,94,39007,2006-07-15,2006-05-20,,,,,,
,2006-10-14,5,28 38 54.4,24 47 31.2,5,,,,,,,,,,,,,,,
,2006-10-14,9,28 39 05.7,24 47 21.7,1,G23508,W031,,4300,445,83,39004,2006-07-23,2006-05-28,,,,,,
,2006-10-14,11,28 39 15.4,24 47 11.9,1,G23517,W033,,6000,520,99,39004,2006-07-07,2006-05-12,,,,,,
,2006-10-14,12,28 39 27.1,24 47 41.1,1,G23591,W037,,5150,490,92,39004,2006-07-14,2006-05-19,,,,,,
,2006-10-14,13,28 39 18.6,24 47 25.8,15,,,,,,,,,,,,,,,
,2006-10-15,15,28 39 54.6,24 47 23.9,6,,,,,,,,,,,,,,,
,2006-10-15,19,28 41 05.8,24 48 16.2,6,,,,,,,,,,,,,,,
,2006-10-14,27,28 41 04.9,24 48 58.3,16,,,,,,,,,,,,,,,
,2006-10-14,30,28 40 52.4,24 49 24.4,1,G23381,W002,,4900,390,76,39004,2006-07-30,2006-06-04,,,,,,
,2006-10-14,34,28 41 06.9,24 49 14.5,1,G23383,W003,,5600,485,91,39004,2006-07-15,2006-05-20,,,,,,
,2006-10-14,48,28 39 37.0,24 49 27.3,1,G23507,W009,,5800,465,87,39004,2006-07-19,2006-05-24,,,,,,
,2006-10-14,50,28 39 31.3,24 49 28.8,1,G23325,W008,,5800,500,94,39004,2006-07-12,2006-05-17,,,,,,
,2006-10-15,58,28 39 12.3,24 50 12.5,5,,,,,,,,,,,,,,,
,2006-10-15,64,28 36 51.9,24 49 51.0,1,G23553,W045,,5650,492,92,39005,2006-07-15,2006-05-20,,,,,,
,2006-10-15,65,28 37 33.1,24 51 35.1,1,G23513,W026,,5100,435,82,39005,2006-07-25,2006-05-30,,,,,,
,2006-10-15,83,28 40 13.5,24 50 25.2,6,,,,,,,,,,,,,,,
,2006-10-14,85,28 39 16.9,24 48 46.5,1,G23509,W007,,5700,495,93,39004,2006-07-13,2006-05-18,,,,,,
,2006-10-15,89,28 41 00.0,24 47 45.8,6,,,,,,,,,,,,,,,
,2006-10-15,94,28 39 55.7,24 49 57.8,1,G23576,W044,,5250,335,68,39005,2006-08-08,2006-06-13,,,,,,
,2006-10-14,103,28 40 57.8,24 49 59.8,1,G23510,W005,,5300,485,91,39004,2006-07-15,2006-05-20,,,,,,
,2006-10-14,104,28 40 33.3,24 48 57.4,1,G23534,W010,,4700,315,64,39004,2006-08-11,2006-06-16,,,,,,
,2006-10-14,106,28 40 00.4,24 49 07.0,6,,,,,,,,,,,,,,,
,2006-10-14,112,28 39 29.2,24 47 34.8,1,G23546,W036,,5400,525,100,39004,2006-07-06,2006-05-11,,,,,,
,2006-10-14,123,28 33 31.7,24 52 14.1,1,G23540,W017,,5500,510,96,39004,2006-07-10,2006-05-15,,,,,,
,2006-10-14,124,28 33 27.0,24 52 01.7,1,G23570,W018,,5000,380,74,39004,2006-08-01,2006-06-06,,,,,,
,2006-10-14,125,28 33 21.6,24 51 47.5,1,G23528,W019,,4700,380,74,39004,2006-08-01,2006-06-06,,,,,,
,2006-10-14,135,28 33 16.1,24 50 50.0,1,G23599,W022,,5500,222,48,39004,2006-08-27,2006-07-02,,,,,,
,2006-10-14,139,28 33 21.7,24 50 40.8,5,,,,,,,,,,,,,,,
,2006-10-15,151,28 39 37.8,24 47 51.6,16,,,,,,,,,,,,,,,
,2006-10-15,152,28 40 27.3,24 47 41.6,1,G23545,W047,,5600,435,82,39005,2006-07-25,2006-05-30,,,,,,
,2006-10-21,154,28 40 30.4,24 47 20.1,6,,,,,,,,,,,,,,,
,2006-10-15,160,28 40 20.2,24 50 35.6,6,,,,,,,,,,,,,,,
,2006-10-15,182,28 40 33.4,24 50 32.4,1,G23390,W049,,4900,445,83,39005,2006-07-24,2006-05-29,,,,,,
,2006-10-15,191,28 39 55.8,24 48 34.0,1,G23400,W046,,5500,450,84,39005,2006-07-23,2006-05-28,,,,,,
,2006-10-14,195,28 39 11.1,24 47 14.9,1,G23583,W032,,4000,369,73,39004,2006-08-02,2006-06-07,,,,,,
,2006-10-14,196,28 39 03.3,24 48 59.3,6,,,,,,,,,,,,,,,
,2006-10-15,198,28 39 53.2,24 48 20.5,5,,,,,,,,,,,,,,,
,2006-10-14,206,28 34 59.4,24 52 33.4,5,,,,,,,,,,,,,,,
,2006-10-17,211,28 39 51.8,24 47 25.6,1,G23567,W038,,4550,467,88,39007,2006-07-21,2006-05-26,,,,,,
,2006-10-15,226,28 34 46.3,24 49 52.8,1,G23556,W023,,5300,470,88,39005,2006-07-19,2006-05-24,,,,,,
,2006-10-15,227,28 34 34.1,24 49 51.0,5,,,,,,,,,,,,,,,
,2006-10-15,257,28 34 11.7,24 50 13.5,6,,,,,,,,,,,,,,,
,2006-10-15,258,28 36 50.8,24 48 03.7,6,,,,,,,,,,,,,,,
,2006-10-14,259,28 36 14.3,24 48 58.4,1,G23584,W001,,3800,315,64,39004,2006-08-11,2006-06-16,,,,,,
,2006-10-14,278,28 33 30.0,24 52 01.1,16,,,,,,,,,,,,,,,
,2006-10-14,280,28 33 37.9,24 50 41.0,6,,,,,,,,,,,,,,,
,2006-10-15,281,28 34 39.9,24 49 55.6,2,,,,1800,90,30,39005,2006-09-15,2006-07-21,,,,,,
,2006-10-15,284,28 35 13.5,24 49 32.4,1,G23502,W024,,4800,400,77,39005,2006-07-30,2006-06-04,,,,,,
,2006-10-14,299,28 39 19.3,24 47 17.6,1,G23550,W034,,3750,335,68,39004,2006-08-07,2006-06-12,,,,,,
